group,series,t,algae,coral
1,1,1,0.10640284429580671,0.8376597333170489
1,1,2,0.09374469987024349,0.8286429645912559
1,1,3,0.08197966549347416,0.79529432402542
1,1,4,0.08195083829002496,0.7845745561324106
1,1,5,0.07947492330054776,0.7795236982783771
1,1,6,0.07569025303319848,0.7485209623554195
1,1,7,0.06530253089933791,0.7704091958902837
1,1,8,0.0745046528963915,0.7160394888593538
1,1,9,0.06622269059823345,0.7593061601670631
1,1,10,0.06671855642537214,0.7486852886340571
1,1,11,0.07180429427165964,0.7319987070325212
1,1,12,0.06356330378870699,0.741457187354554
1,1,13,0.05615502114693526,0.824024995086539
1,1,14,0.05422903638566022,0.809682843124355
1,1,15,0.05307658155556518,0.8509127018961219
1,1,16,0.0389678539544518,0.843844978958346
1,1,17,0.037065964763058463,0.8204546067648523
1,1,18,0.03146011225381175,0.8673638689291685
1,1,19,0.024113130223638153,0.8772757526420075
1,1,20,0.021445015368272046,0.8502688889740475
1,1,21,0.019269658334376414,0.8388693296716307
1,1,22,0.018530123486799596,0.8418049331197952
1,1,23,0.014635967300953632,0.8672411596596825
1,1,24,0.011959552949418188,0.8426949423776511
1,1,25,0.008347331832822068,0.8871097611109825
1,1,26,0.0056174694846217775,0.9028727189953165
1,1,27,0.0042399654997820795,0.9151511473639199
1,1,28,0.002748610258404118,0.9127101090738453
1,1,29,0.0021112175920024534,0.8814827324820993
1,1,30,0.002024125988216494,0.8792243963924335
1,1,31,0.0012987832694395258,0.9097314154124876
1,1,32,0.0009927794147090423,0.893086933361831
1,1,33,0.000711688554906911,0.9209229888446647
1,1,34,0.00045338756117043795,0.9376205985464685
1,1,35,0.00027200602894696205,0.9397847029210344
1,1,36,0.0001459534171599961,0.921896220090546
1,1,37,6.979665255125512e-5,0.9460312090357605
1,1,38,3.94531839913223e-5,0.9432344153721093
1,1,39,2.0857087340695383e-5,0.9155072692331638
1,1,40,1.1368379011160644e-5,0.9539228392377299
1,1,41,4.311016382741903e-6,0.9364432984119573
1,1,42,2.7887912871290456e-6,0.9272480748696174
1,1,43,2.0668754440448046e-6,0.9051371672795692
1,1,44,9.640606779323645e-7,0.9390084576205097
1,1,45,4.495643526068937e-7,0.9403400126348137
1,1,46,2.587810659339927e-7,0.9376813269147481
1,1,47,1.4140189406926368e-7,0.9277356335550206
1,1,48,7.221876144782478e-8,0.9368318414475717
1,1,49,2.9205050213763692e-8,0.9669344596726521
1,1,50,2.905576942347778e-9,0.9798737571880581
1,1,51,5.249914445044647e-10,0.9676078342336499
1,1,52,2.1250367729051737e-10,0.931224056628398
1,1,53,1.1766948925705005e-10,0.9378622116763874
1,1,54,7.596425906031933e-11,0.9240129514640357
1,1,55,4.3119953061615773e-11,0.9256981468810597
1,1,56,2.5612841804224087e-11,0.9351050051194599
1,1,57,1.6441687021278218e-11,0.9183662240414154
1,1,58,1.207174482867082e-11,0.914474182799215
1,1,59,6.633919596972054e-12,0.9514182655003403
1,1,60,3.843003168483538e-12,0.9440146039148254
1,1,61,8.33207633968758e-13,0.9696806455803674
1,1,62,2.623756643740116e-13,0.9496145753754651
1,1,63,1.1934316402405656e-13,0.9424804847896588
1,1,64,8.479874428526938e-14,0.9254029972737038
1,1,65,4.319573718694212e-14,0.9395527780115983
1,1,66,2.58958525287694e-14,0.9213927176861223
1,1,67,1.9063411590815177e-14,0.9046477353784251
1,1,68,9.526870771309113e-15,0.9651085293324638
1,1,69,4.5254846894993765e-15,0.9075146989906314
1,1,70,4.1482204012235115e-15,0.9053048781156308
1,1,71,2.4919223559063547e-15,0.9144571877679324
1,1,72,1.461612202025162e-15,0.9323652485175135
1,1,73,9.896053179290989e-16,0.8924717757727432
1,1,74,6.489334492020961e-16,0.9010070675934492
1,1,75,4.885704257054161e-16,0.8684887860700016
1,2,1,0.5182488426270974,0.0988755059814066
1,2,2,0.4877412168058504,0.09720111328885463
1,2,3,0.4777890637054092,0.09518702871367421
1,2,4,0.5234624358667594,0.08751517685261997
1,2,5,0.5752413413154424,0.09393885608745785
1,2,6,0.4561551936814137,0.08852057954379863
1,2,7,0.4541800276702143,0.0742408635817174
1,2,8,0.4510933503106835,0.0786616857452583
1,2,9,0.4755749950723946,0.0714797596705821
1,2,10,0.5039360805852636,0.07914989640768007
1,2,11,0.5153903050312013,0.07568684270194732
1,2,12,0.4578666656211565,0.07247014089414765
1,2,13,0.4672831944879568,0.06419868366204143
1,2,14,0.45594946549278303,0.06264843084649807
1,2,15,0.4399660669505118,0.059729539143881065
1,2,16,0.4877261647226716,0.0652930810053653
1,2,17,0.47714553301033624,0.06551247659452056
1,2,18,0.48301400514420945,0.06330730147699629
1,2,19,0.48676250114167274,0.06427187276878375
1,2,20,0.5273822894060934,0.060581850716282366
1,2,21,0.5344323273140614,0.05842085780309251
1,2,22,0.5031548636152454,0.05711820504321882
1,2,23,0.500083898404477,0.04715750346255839
1,2,24,0.5351350542453931,0.05120613043960677
1,2,25,0.5223572674411405,0.05135358486514206
1,2,26,0.525813231767041,0.04911701261194959
1,2,27,0.549249819108336,0.05000427802298817
1,2,28,0.4990156655125742,0.046479841132991605
1,2,29,0.586353248568396,0.039908377506625126
1,2,30,0.5264740433453964,0.038035763022311445
1,2,31,0.558260186029168,0.04254512850830541
1,2,32,0.5336784099869115,0.03937895772611726
1,2,33,0.540454479102195,0.03414981690139236
1,2,34,0.5345380461859911,0.030190178250465115
1,2,35,0.5320108086177762,0.033868164427649304
1,2,36,0.49568955966089984,0.026371827433042352
1,2,37,0.5340083104521555,0.027546817858218126
1,2,38,0.5765938095097458,0.027796343486676565
1,2,39,0.5521860642820513,0.027785491045899384
1,2,40,0.5403771158562056,0.026150117166861258
1,2,41,0.5325735176773521,0.025445609841584112
1,2,42,0.5004763230009618,0.02300161191448416
1,2,43,0.5541413372423231,0.021418838158624626
1,2,44,0.5822169049591028,0.022608538077273598
1,2,45,0.57881640803403,0.020405546497882204
1,2,46,0.5903286937315373,0.01988945621663792
1,2,47,0.5380449092826376,0.018408172387709937
1,2,48,0.5304432758638191,0.01727774324807845
1,2,49,0.547857582779141,0.016037133869246586
1,2,50,0.5145319535814984,0.015012002757656942
1,2,51,0.4974645428904058,0.014251688149752195
1,2,52,0.4699822611917448,0.013848225642273466
1,2,53,0.5121617718598834,0.015892798956862166
1,2,54,0.5047216558504962,0.013210352574809537
1,2,55,0.5008902604959349,0.01294118742486232
1,2,56,0.5573782288482757,0.011966931872248105
1,2,57,0.5343577293363871,0.011581702400103007
1,2,58,0.5305237992508852,0.010675352021470024
1,2,59,0.5239021067387121,0.01130366752801631
1,2,60,0.5582364842668506,0.010751630828941514
1,2,61,0.49982977738402895,0.010995345420587667
1,2,62,0.5822195391823587,0.010814718780182394
1,2,63,0.5255287060518005,0.011458164075701724
1,2,64,0.5593171879487701,0.010917701051735718
1,2,65,0.5221843677241044,0.008518946397054352
1,2,66,0.5209619064766835,0.008654042672289893
1,2,67,0.534234784328289,0.007562254251688819
1,2,68,0.5206105131569307,0.0077951368004055615
1,2,69,0.5393128506296054,0.007352440970314179
1,2,70,0.5498137079015014,0.008098652968028903
